lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,34.0,31.0,29.0,31.0,37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38,0,0,0,0,0,0,1,38,30,1
34.0,31.0,29.0,31.0,37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43,0,0,0,0,1,0,0,43,31,1
31.0,29.0,31.0,37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38,1,0,0,0,0,0,0,38,1,2
29.0,31.0,37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34,0,0,1,0,0,0,0,34,2,2
31.0,37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45,0,0,0,1,0,0,0,45,3,2
37.0,30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45.0,44,0,1,0,0,0,0,0,44,4,2
30.0,31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45.0,44.0,44,0,0,0,0,0,1,0,44,5,2
31.0,38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45.0,44.0,44.0,43,0,0,0,0,0,0,1,43,6,2
38.0,35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45.0,44.0,44.0,43.0,42,0,0,0,0,1,0,0,42,7,2
35.0,38.0,39.0,31.0,27.0,32.0,21.0,39.0,39.0,31.0,44.0,38.0,38.0,38.0,36.0,44.0,41.0,34.0,35.0,38.0,43.0,38.0,34.0,45.0,44.0,44.0,43.0,42.0,40,1,0,0,0,0,0,0,40,8,2
